game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600568,2025,Brampton Honey Badgers,Brampton,BHB,66,200:00,20,62,32,12,35,34,8,27,29,18,22,81,12,29,41,17,4,19,2,6,15,20,15,4,22,9,8,17,5,65,2,38.4,139.0,63,65,65,0,4,4,1,3,14,20.0,15.0,17.0,0.0,7.0,0.0,0,2,0,Sheldon Cassimy,Thomas Cory,Mike  Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/db5eb761998d8ed8232dea348c7df271T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/db5eb761998d8ed8232dea348c7df271S1.png,S1,200,200,19332,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1,6,18-22
2600569,2025,Brampton Honey Badgers,Brampton,BHB,83,200:00,29,54,53,22,40,55,7,14,50,18,23,78,12,24,36,16,7,24,1,3,27,18,27,7,42,10,15,16,6,89,2,54.5,181.5,76,89,89,0,1,3,3,0,25,25.0,18.0,15.0,11.0,9.0,24.2,7,3,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/2cfcfebd3df5f3d8014d5aa982cca984T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/2cfcfebd3df5f3d8014d5aa982cca984S1.png,S1,200,200,19332,brampton honey badgers,Ottawa BlackJacks,2025-05-21T23:30:00Z,2,8,18-23
2600576,2025,Brampton Honey Badgers,Brampton,BHB,76,200:00,26,78,33,20,52,38,6,26,23,18,21,85,17,33,50,17,6,16,3,5,11,21,11,4,38,8,15,16,11,81,2,52.0,212.0,85,81,81,0,0,8,4,4,13,21.0,21.0,21.0,3.0,14.0,1.8,3,1,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/4b314cc9a59ae6d10b8aaf108586f115T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/4b314cc9a59ae6d10b8aaf108586f115S1.png,S1,200,200,19332,brampton honey badgers,Scarborough Shooting Stars,2025-05-25T18:00:00Z,3,9,18-21
2600580,2025,Brampton Honey Badgers,Brampton,BHB,81,200:00,28,60,46,19,35,54,9,25,36,16,21,76,7,20,27,16,8,15,4,1,18,22,18,3,38,4,21,10,9,84,2,58.9,202.5,86,84,84,0,1,2,0,2,24,18.0,19.0,20.0,7.0,7.0,4.6,4,4,0,Sheldon Cassimy,Thomas  Cory,,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4S1.png,S1,200,200,19332,brampton honey badgers,Edmonton Stingers,2025-05-29T01:00:00Z,4,12,16-21
2600582,2025,Brampton Honey Badgers,Brampton,BHB,85,200:00,27,61,44,18,31,58,9,30,30,22,30,73,7,32,39,18,8,19,2,6,33,23,34,9,28,4,21,22,0,91,2,54.2,158.5,74,91,91,1,2,1,1,0,18,23.0,28.0,16.0,15.0,6.0,22.868333333333,11,9,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4S1.png,S1,200,200,19332,brampton honey badgers,Calgary Surge,2025-05-30T01:30:00Z,5,10,22-30
2600595,2025,Brampton Honey Badgers,Brampton,BHB,71,200:00,24,54,44,16,27,59,8,27,29,15,18,83,6,31,37,13,2,19,4,3,18,16,18,3,30,2,7,14,17,75,2,42.8,165.0,70,75,75,0,0,5,4,1,16,18.0,22.0,15.0,6.0,11.0,6.48,2,2,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/30cb2ec1f72343a62465f51f387b9bf4S1.png,S1,200,200,19332,brampton honey badgers,Montreal Alliance,2025-06-04T15:00:00Z,6,6,15-18
2600601,2025,Brampton Honey Badgers,Brampton,BHB,81,200:00,24,62,38,18,38,47,6,24,25,27,32,84,14,34,48,13,7,16,3,2,17,24,18,3,34,19,16,16,14,93,2,60.6,232.0,96,93,93,1,0,8,3,5,22,23.0,15.0,21.0,7.0,12.0,19.436666666667,11,15,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/036c08b8d1c7fcc4b4ef972d37291646T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/036c08b8d1c7fcc4b4ef972d37291646S1.png,S1,200,200,19332,brampton honey badgers,Winnipeg Sea Bears,2025-06-06T23:30:00Z,7,10,27-32
2600587,2025,Brampton Honey Badgers,Brampton,BHB,80,200:00,27,69,39,21,39,53,6,30,20,20,24,83,11,33,44,14,9,17,3,2,24,19,26,9,34,13,16,13,9,87,2,52.8,187.0,79,87,87,2,1,4,3,1,16,19.0,25.0,20.0,2.0,8.0,0.21666666666667,2,1,0,Sheldon Cassimy,Mike Fraser,Thomas Cory,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/036c08b8d1c7fcc4b4ef972d37291646T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/036c08b8d1c7fcc4b4ef972d37291646S1.png,S1,200,200,19332,brampton honey badgers,Niagara River Lions,2025-06-08T19:00:00Z,8,12,20-24
2600610,2025,Brampton Honey Badgers,Brampton,BHB,95,200:00,35,62,56,27,42,64,8,20,40,17,23,73,10,29,39,20,5,17,8,1,18,19,18,6,48,11,11,18,12,117,2,79.3,312.0,117,117,117,0,0,3,1,2,24,25.0,24.0,22.0,6.0,10.0,10.253333333333,13,16,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/63f032d924dabdf067fabf06da570921T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/63f032d924dabdf067fabf06da570921S1.png,S1,200,200,19332,brampton honey badgers,Edmonton Stingers,2025-06-14T23:30:00Z,9,13,17-23
2600607,2025,Brampton Honey Badgers,Brampton,BHB,88,200:00,36,68,52,25,39,64,11,29,37,5,12,41,9,29,38,25,7,14,1,3,14,12,14,4,44,7,16,20,10,106,2,72.6,289.5,101,106,106,0,0,3,1,2,30,20.0,22.0,16.0,12.0,8.0,28.55,11,5,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/e56b34c0c9fec3d87b5c879824c12bb9T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/e56b34c0c9fec3d87b5c879824c12bb9S1.png,S1,200,200,19332,brampton honey badgers,Saskatchewan Rattlers,2025-06-21T00:00:00Z,10,8,5-12
2600614,2025,Brampton Honey Badgers,Brampton,BHB,76,200:00,27,70,38,16,44,36,11,26,42,11,19,57,16,30,46,18,6,15,6,5,23,19,24,4,30,15,14,23,13,86,2,53.4,182.5,76,86,86,1,1,8,3,5,21,21.0,19.0,15.0,7.0,7.0,4.45,2,5,0,Sheldon Cassimy,Thomas Cory,Mike Fraser,Brampton Honey Badgers,Brampton,BHB,,https://images.statsengine.playbyplay.api.geniussports.com/e56b34c0c9fec3d87b5c879824c12bb9T1.png,T1,75,75,6331,https://images.statsengine.playbyplay.api.geniussports.com/e56b34c0c9fec3d87b5c879824c12bb9S1.png,S1,200,200,19332,brampton honey badgers,Ottawa BlackJacks,2025-06-22T18:30:00Z,11,12,11-19
