game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600563,2025,Edmonton Stingers,Edmonton,EDM,84,200:00,31,72,43,24,45,53,7,27,25,15,17,88,8,32,40,18,6,17,2,5,18,13,18,1,40,10,19,14,15,90,2,56.2,212.5,80,90,90,0,3,1,1,0,23,21.0,22.0,18.0,11.0,9.0,22.215,10,10,0,Jordan Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/b7c3b17535a2b56e9a097cad15288893T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/b7c3b17535a2b56e9a097cad15288893S1.png,S1,200,200,18967,edmonton stingers,Calgary Surge,2025-05-11T22:00:00Z,1,8,15-17
2600566,2025,Edmonton Stingers,Edmonton,EDM,89,200:00,33,84,39,25,57,43,8,27,29,15,18,83,12,39,51,14,6,12,4,6,18,19,18,5,42,12,9,10,8,98,2,61.7,237.0,93,98,98,0,1,7,4,3,13,23.0,17.0,36.0,0.0,9.0,0.0,0,1,0,Jordan Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025S1.png,S1,200,200,18967,edmonton stingers,Winnipeg Sea Bears,2025-05-17T00:30:00Z,2,10,15-18
2600570,2025,Edmonton Stingers,Edmonton,EDM,92,200:00,32,77,41,18,45,40,14,32,43,14,16,87,14,34,48,18,6,13,1,5,13,17,13,3,36,17,12,23,12,105,2,71.2,268.0,104,105,105,0,2,8,3,5,18,22.0,26.0,26.0,8.0,8.0,24.455,12,7,0,Jordan Baker,George  Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025S1.png,S1,200,200,18967,edmonton stingers,Saskatchewan Rattlers,2025-05-23T01:30:00Z,3,7,14-16
2600575,2025,Edmonton Stingers,Edmonton,EDM,79,200:00,26,62,41,19,38,50,7,24,29,20,23,86,8,26,34,16,5,20,3,5,23,21,24,9,36,8,12,24,4,78,2,47.3,153.5,70,78,78,1,0,1,0,1,20,20.0,23.0,16.0,2.0,6.0,1.5666666666667,1,4,0,Jordan Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025S1.png,S1,200,200,18967,edmonton stingers,Vancouver Bandits,2025-05-25T02:00:00Z,4,8,20-23
2600580,2025,Edmonton Stingers,Edmonton,EDM,99,200:00,38,68,55,26,36,72,12,32,37,11,15,73,11,28,39,18,8,15,1,4,22,17,22,5,44,16,18,48,21,116,2,78.6,280.0,107,116,116,0,0,2,1,1,28,25.0,25.0,21.0,18.0,8.0,32.816666666667,4,4,0,Jordan Baker,George Hoyt,,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/61863f439f1f59e08460a2484187d025S1.png,S1,200,200,18967,edmonton stingers,Brampton Honey Badgers,2025-05-29T01:00:00Z,5,9,11-15
2600586,2025,Edmonton Stingers,Edmonton,EDM,95,200:00,29,69,42,19,42,45,10,27,37,27,30,90,14,30,44,14,7,14,3,2,16,25,16,4,34,11,12,23,16,106,2,74.4,270.0,113,106,106,0,1,6,2,4,26,20.0,19.0,30.0,5.0,11.0,6.9016666666667,8,6,0,Jordan Baker,George Hoyt,,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/c26f01c9267ab634aef6f65c2d71364dT1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/c26f01c9267ab634aef6f65c2d71364dS1.png,S1,200,200,18967,edmonton stingers,Vancouver Bandits,2025-05-31T01:00:00Z,6,10,27-30
2600605,2025,Edmonton Stingers,Edmonton,EDM,83,200:00,32,72,44,22,41,53,10,31,32,9,14,64,12,18,30,22,6,10,0,3,13,15,13,5,44,10,11,21,11,86,2,63.4,227.0,85,86,86,0,2,4,3,1,15,19.0,20.0,29.0,0.0,11.0,0.0,0,1,0,Jordan Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/3686631fdf54020517b8bb0b8aa6967cT1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/3686631fdf54020517b8bb0b8aa6967cS1.png,S1,200,200,18967,edmonton stingers,Montreal Alliance,2025-06-07T00:00:00Z,7,6,9-14
2600598,2025,Edmonton Stingers,Edmonton,EDM,93,200:00,36,78,46,21,48,43,15,30,50,6,7,85,12,31,43,19,12,7,5,3,16,8,16,3,38,14,19,23,8,122,2,85.5,311.5,111,122,122,0,1,0,0,0,25,25.0,18.0,25.0,19.0,14.0,31.68,13,7,0,Jordan Baker,George Hoyt,,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604S1.png,S1,200,200,18967,edmonton stingers,Ottawa BlackJacks,2025-06-11T01:00:00Z,8,17,6-7
2600604,2025,Edmonton Stingers,Edmonton,EDM,106,200:00,42,77,54,29,50,57,13,27,48,9,10,90,9,37,46,29,6,14,1,1,19,13,19,5,46,13,8,19,9,138,2,91.3,360.5,131,138,138,0,1,6,4,2,35,26.0,23.0,22.0,25.0,12.0,39.166666666667,0,0,0,Jordan Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604S1.png,S1,200,200,18967,edmonton stingers,Niagara River Lions,2025-06-13T23:00:00Z,9,7,9-10
2600610,2025,Edmonton Stingers,Edmonton,EDM,91,200:00,33,75,44,23,50,46,10,25,40,15,17,88,15,19,34,20,10,12,1,8,19,18,19,5,38,11,22,20,15,100,2,72.2,230.0,91,100,100,0,1,3,1,2,33,14.0,24.0,20.0,11.0,10.0,24.796666666667,13,16,0,Jordan  Baker,George Hoyt,Adika Peter-McNeilly,Edmonton Stingers,Edmonton,EDM,,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604T1.png,T1,75,75,4725,https://images.statsengine.playbyplay.api.geniussports.com/946753306089e23e4b8d33462bb7a604S1.png,S1,200,200,18967,edmonton stingers,Brampton Honey Badgers,2025-06-14T23:30:00Z,10,11,15-17
