game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600565,2025,Niagara River Lions,Niagara,NRL,98,200:00,37,82,45,24,57,42,13,25,52,11,15,73,16,24,40,22,13,16,9,5,23,16,23,5,38,14,21,24,18,117,2,81.7,274.5,105,117,117,0,0,6,5,1,28,29.0,23.0,18.0,16.0,8.0,39.65,4,2,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/19d91578cf8202b0960c78d27d522ae5T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/19d91578cf8202b0960c78d27d522ae5S1.png,S1,200,200,26881,niagara river lions,Calgary Surge,2025-05-16T23:00:00Z,1,22,11-15
2600567,2025,Niagara River Lions,Niagara,NRL,87,200:00,30,70,42,22,42,52,8,28,28,19,28,67,10,33,43,16,8,16,4,5,23,24,23,8,32,9,20,19,9,93,2,60.1,213.0,89,93,93,0,1,4,1,3,15,19.0,24.0,29.0,2.0,6.0,3.9,1,5,0,Victor Raso,Troy Stevenson,,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/8e7cd6c0d3cb7a4bb186ff7bdadb5704T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/8e7cd6c0d3cb7a4bb186ff7bdadb5704S1.png,S1,200,200,26881,niagara river lions,Ottawa BlackJacks,2025-05-18T19:00:00Z,2,12,19-28
2600571,2025,Niagara River Lions,Niagara,NRL,72,200:00,27,66,40,23,42,54,4,24,16,14,19,73,9,28,37,13,6,19,9,7,21,21,21,8,36,10,5,33,2,74,2,43.3,155.0,67,74,74,0,1,3,2,1,20,17.0,14.0,21.0,5.0,5.0,10.45,3,3,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/41e9f6504eda58201d82c0c864f947b6T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/41e9f6504eda58201d82c0c864f947b6S1.png,S1,200,200,26881,niagara river lions,Vancouver Bandits,2025-05-23T02:00:00Z,3,15,14-19
2600574,2025,Niagara River Lions,Niagara,NRL,88,200:00,31,80,38,24,58,41,7,22,31,19,24,79,17,31,48,16,9,15,4,5,17,19,17,3,38,24,24,31,21,96,2,64.8,240.5,93,96,96,0,0,2,0,2,27,18.0,16.0,27.0,10.0,10.0,19.211666666667,11,6,0,Victor Raso,Troy  Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/41e9f6504eda58201d82c0c864f947b6T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/41e9f6504eda58201d82c0c864f947b6S1.png,S1,200,200,26881,niagara river lions,Saskatchewan Rattlers,2025-05-25T01:30:00Z,4,13,19-24
2600583,2025,Niagara River Lions,Niagara,NRL,87,200:00,32,78,41,20,44,45,12,34,35,11,13,84,17,32,49,19,8,18,13,4,23,15,23,8,38,9,15,18,13,110,2,69.1,248.0,98,110,110,0,2,8,6,2,29,16.0,18.0,24.0,12.0,17.0,21.866666666667,7,7,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/cd722961e2768c3ddc681fb4d7d3ca12T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/cd722961e2768c3ddc681fb4d7d3ca12S1.png,S1,200,200,26881,niagara river lions,Saskatchewan Rattlers,2025-05-30T23:00:00Z,5,21,11-13
2600599,2025,Niagara River Lions,Niagara,NRL,98,203:54,36,83,43,27,54,50,9,29,31,17,23,73,13,35,48,21,5,14,1,5,25,23,25,4,46,13,15,34,11,106,2,67.9,242.5,98,106,106,0,0,7,5,2,26,29.0,16.0,27.0,13.0,12.0,30.3,6,5,0,Victor Raso,Troy Stevenson,William Gatchallian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/a2e42f3af6ad84a8fd2841dffedfe21aT1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/a2e42f3af6ad84a8fd2841dffedfe21aS1.png,S1,200,200,26881,niagara river lions,Scarborough Shooting Stars,2025-06-06T23:00:00Z,6,6,17-23
2600587,2025,Niagara River Lions,Niagara,NRL,94,200:00,29,75,38,17,35,48,12,40,30,24,31,77,17,35,52,21,9,14,2,3,22,21,22,6,30,10,14,34,9,111,2,75.0,264.0,106,111,111,0,0,5,3,2,31,22.0,20.0,21.0,22.0,7.0,38.933333333333,2,1,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/a2e42f3af6ad84a8fd2841dffedfe21aT1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/a2e42f3af6ad84a8fd2841dffedfe21aS1.png,S1,200,200,26881,niagara river lions,Brampton Honey Badgers,2025-06-08T19:00:00Z,7,11,24-31
2600604,2025,Niagara River Lions,Niagara,NRL,88,200:00,34,83,40,30,54,55,4,29,13,16,17,94,12,25,37,16,9,9,1,1,13,19,13,4,56,6,17,22,12,92,2,65.7,252.0,97,92,92,0,0,2,0,2,24,20.0,28.0,16.0,0.0,9.0,0.0,0,0,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/7b9c27a4e284ff13d5b0b51924c946a9T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/7b9c27a4e284ff13d5b0b51924c946a9S1.png,S1,200,200,26881,niagara river lions,Edmonton Stingers,2025-06-13T23:00:00Z,8,10,16-17
2600588,2025,Niagara River Lions,Niagara,NRL,90,200:00,30,76,39,18,42,42,12,34,35,18,22,81,14,27,41,17,8,8,0,2,19,15,19,3,28,17,15,21,15,98,2,69.4,234.0,92,98,98,0,0,1,0,1,30,21.0,13.0,26.0,18.0,6.0,35.483333333333,4,2,0,Victor Rasso,Troy Stevenson,Andrew Sergi,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/7b9c27a4e284ff13d5b0b51924c946a9T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/7b9c27a4e284ff13d5b0b51924c946a9S1.png,S1,200,200,26881,niagara river lions,Ottawa BlackJacks,2025-06-15T18:00:00Z,9,8,18-22
2600603,2025,Niagara River Lions,Niagara,NRL,93,200:00,30,73,41,23,45,51,7,28,25,26,32,81,14,31,45,20,9,8,2,4,22,24,22,7,40,17,23,27,17,112,2,78.2,271.5,109,112,112,0,0,5,3,2,25,26.0,23.0,19.0,22.0,12.0,38.666666666667,0,1,0,Victor Raso,Troy Stevenson,William Gatchalian,Niagara River Lions,Niagara,NRL,,https://images.statsengine.playbyplay.api.geniussports.com/8b59e8b2d7c4b42e337bcfb448a66f09T1.png,T1,75,75,6516,https://images.statsengine.playbyplay.api.geniussports.com/8b59e8b2d7c4b42e337bcfb448a66f09S1.png,S1,200,200,26881,niagara river lions,Montreal Alliance,2025-06-20T15:00:00Z,10,11,26-32
