game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600567,2025,Ottawa BlackJacks,Ottawa,OTT,85,200:00,28,70,40,20,40,50,8,30,26,21,28,75,11,35,46,19,9,18,5,4,24,23,24,11,32,9,18,20,16,97,2,60.8,217.0,92,97,97,0,0,10,5,5,28,22.0,18.0,17.0,17.0,9.0,35.2,1,5,0,Dave DeAveiro,Matt  MaClean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/38e5a27030800b3d8922ebc07683dac9T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/38e5a27030800b3d8922ebc07683dac9S1.png,S1,200,200,23302,ottawa blackjacks,Niagara River Lions,2025-05-18T19:00:00Z,1,14,21-28
2600569,2025,Ottawa BlackJacks,Ottawa,OTT,105,200:00,35,70,50,24,40,60,11,30,36,24,28,85,14,17,31,25,11,12,3,1,19,26,19,4,44,20,37,41,21,124,2,94.3,320.5,129,124,124,0,0,4,2,2,21,26.0,29.0,29.0,22.0,11.0,14.783333333333,7,3,0,Dave  DeAveiro,Matt  MacLean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/38e5a27030800b3d8922ebc07683dac9T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/38e5a27030800b3d8922ebc07683dac9S1.png,S1,200,200,23302,ottawa blackjacks,Brampton Honey Badgers,2025-05-21T23:30:00Z,2,14,24-28
2600578,2025,Ottawa BlackJacks,Ottawa,OTT,86,200:00,29,68,42,22,48,45,7,20,35,21,24,87,12,32,44,20,8,18,2,6,17,21,17,3,36,12,16,23,12,100,2,65.4,244.5,98,100,100,0,3,3,1,2,19,23.0,28.0,16.0,8.0,8.0,10.933333333333,14,10,0,Dave DeAveiro,,,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/b896fecbeddafbf69be3df703b36ad36T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/b896fecbeddafbf69be3df703b36ad36S1.png,S1,200,200,23302,ottawa blackjacks,Scarborough Shooting Stars,2025-05-27T15:00:00Z,3,10,21-24
2600589,2025,Ottawa BlackJacks,Ottawa,OTT,88,200:00,32,64,50,19,32,59,13,32,40,11,12,91,13,30,43,22,7,20,5,2,17,14,17,5,32,16,11,27,5,112,2,72.8,278.5,107,112,112,0,2,4,2,2,19,25.0,21.0,23.0,15.0,11.0,26.101666666667,5,1,0,Dave DeAveiro,Matt MacLean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/b896fecbeddafbf69be3df703b36ad36T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/b896fecbeddafbf69be3df703b36ad36S1.png,S1,200,200,23302,ottawa blackjacks,Winnipeg Sea Bears,2025-06-01T00:30:00Z,4,12,11-12
2600611,2025,Ottawa BlackJacks,Ottawa,OTT,81,200:00,31,74,41,23,51,45,8,23,34,11,17,64,16,27,43,21,6,16,3,5,18,19,18,5,44,14,16,42,8,89,2,58.1,216.0,84,89,89,0,0,4,1,3,12,23.0,29.0,17.0,2.0,8.0,0.21666666666667,2,0,0,Dave DeAverio,Matt Maclean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/54dfdcb41089122752f4f53cb3a5d1e3T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/54dfdcb41089122752f4f53cb3a5d1e3S1.png,S1,200,200,23302,ottawa blackjacks,Vancouver Bandits,2025-06-07T02:00:00Z,5,9,11-17
2600590,2025,Ottawa BlackJacks,Ottawa,OTT,93,200:00,34,63,53,26,40,65,8,23,34,17,26,65,8,24,32,19,3,19,1,4,24,19,25,7,36,12,10,34,3,91,2,60.1,209.0,82,91,91,1,2,5,3,2,23,29.0,25.0,16.0,2.0,10.0,1.1,4,2,0,Dave DeAveiro,Matt MacLean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/2b0f6361e4677f75a7dcfea7a2e328acT1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/2b0f6361e4677f75a7dcfea7a2e328acS1.png,S1,200,200,23302,ottawa blackjacks,Calgary Surge,2025-06-08T20:00:00Z,6,4,17-26
2600598,2025,Ottawa BlackJacks,Ottawa,OTT,74,200:00,28,72,38,22,51,43,6,21,28,12,17,70,15,29,44,19,3,14,3,5,9,16,9,3,38,12,8,31,6,80,2,52.8,223.0,81,80,80,0,0,3,1,2,23,21.0,20.0,10.0,4.0,7.0,4.45,13,7,0,Dave DeAveiro,Matt MacLean,,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/2b0f6361e4677f75a7dcfea7a2e328acT1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/2b0f6361e4677f75a7dcfea7a2e328acS1.png,S1,200,200,23302,ottawa blackjacks,Edmonton Stingers,2025-06-11T01:00:00Z,7,6,12-17
2600588,2025,Ottawa BlackJacks,Ottawa,OTT,89,200:00,32,70,45,18,38,47,14,32,43,11,17,64,13,33,46,24,2,13,2,0,16,19,16,6,32,18,12,44,9,106,2,70.2,277.0,108,106,106,0,1,1,1,0,14,30.0,19.0,26.0,8.0,9.0,4.1666666666667,4,2,0,Dave DeAveiro,Matt McLean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/1e4679d852af58d097d71960132196ceT1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/1e4679d852af58d097d71960132196ceS1.png,S1,200,200,23302,ottawa blackjacks,Niagara River Lions,2025-06-15T18:00:00Z,8,4,11-17
2600609,2025,Ottawa BlackJacks,Ottawa,OTT,97,200:00,34,70,48,22,39,56,12,31,38,17,23,73,12,34,46,25,6,14,4,7,23,17,23,5,38,16,13,34,12,122,2,80.9,288.0,108,122,122,0,0,3,1,2,25,30.0,24.0,18.0,24.0,9.0,37.85,1,3,0,Dave DaAveiro,,,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/f9e5863c5b38d6cca4b8c3b7630cfb55T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/f9e5863c5b38d6cca4b8c3b7630cfb55S1.png,S1,200,200,23302,ottawa blackjacks,Scarborough Shooting Stars,2025-06-20T23:30:00Z,9,10,17-23
2600614,2025,Ottawa BlackJacks,Ottawa,OTT,89,200:00,31,78,39,19,44,43,12,34,35,15,18,83,16,30,46,18,5,10,5,6,19,22,19,5,28,19,22,20,9,103,2,69.3,240.0,100,103,103,0,0,11,7,4,26,23.0,18.0,22.0,13.0,12.0,33.225,2,5,0,Dave Deaveiro,Matt Maclean,Brandon Edwards,Ottawa BlackJacks,Ottawa,OTT,,https://images.statsengine.playbyplay.api.geniussports.com/f9e5863c5b38d6cca4b8c3b7630cfb55T1.png,T1,75,75,6105,https://images.statsengine.playbyplay.api.geniussports.com/f9e5863c5b38d6cca4b8c3b7630cfb55S1.png,S1,200,200,23302,ottawa blackjacks,Brampton Honey Badgers,2025-06-22T18:30:00Z,10,10,15-18
