game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600564,2025,Saskatchewan Rattlers,Saskatchewan,SSK,65,200:00,24,68,35,20,50,40,4,18,22,13,17,76,9,25,34,9,7,20,3,2,16,18,16,5,38,8,18,19,14,50,2,28.2,108.0,50,50,50,0,2,3,3,0,18,16.0,10.0,21.0,2.0,7.0,0.0,1,3,0,Eric Magdenz,Steve  Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/4edca96d835fd0d4e3052df7f31efe34T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/4edca96d835fd0d4e3052df7f31efe34S1.png,S1,200,200,32787,saskatchewan rattlers,Vancouver Bandits,2025-05-16T01:30:00Z,1,10,13-17
2600570,2025,Saskatchewan Rattlers,Saskatchewan,SSK,89,200:00,32,79,40,24,48,50,8,31,25,17,20,85,14,32,46,15,7,9,5,1,17,13,17,4,44,18,17,13,12,103,2,69.9,265.0,98,103,103,0,0,1,1,0,17,22.0,26.0,24.0,4.0,7.0,10.211666666667,12,7,0,Eric  Magdanz,Steve  Burrows ,Robert  Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/16f0d304e1558b9a8930bb3d898d2fdfT1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/16f0d304e1558b9a8930bb3d898d2fdfS1.png,S1,200,200,32787,saskatchewan rattlers,Edmonton Stingers,2025-05-23T01:30:00Z,2,12,17-20
2600574,2025,Saskatchewan Rattlers,Saskatchewan,SSK,86,200:00,31,79,39,21,56,37,10,23,43,14,16,87,17,33,50,16,10,17,5,4,19,17,20,8,38,19,13,3,7,100,2,64.2,236.0,94,100,100,1,1,7,6,1,22,23.0,23.0,18.0,13.0,9.0,18.5,11,6,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/5b319b5ca1e455cb3b67270aaa7d55bfT1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/5b319b5ca1e455cb3b67270aaa7d55bfS1.png,S1,200,200,32787,saskatchewan rattlers,Niagara River Lions,2025-05-25T01:30:00Z,3,15,14-16
2600581,2025,Saskatchewan Rattlers,Saskatchewan,SSK,84,200:00,27,66,40,19,48,39,8,18,44,22,29,75,14,32,46,14,7,19,7,6,21,20,21,7,34,15,22,23,20,93,2,59.5,212.0,86,93,93,0,0,7,3,4,21,22.0,26.0,15.0,3.0,6.0,5.0666666666667,16,13,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/607d8e6129f85ccfc4b6cb72443bdf63T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/607d8e6129f85ccfc4b6cb72443bdf63S1.png,S1,200,200,32787,saskatchewan rattlers,Scarborough Shooting Stars,2025-05-29T15:00:00Z,4,14,22-29
2600583,2025,Saskatchewan Rattlers,Saskatchewan,SSK,89,200:00,32,83,38,24,58,41,8,25,32,17,25,68,19,30,49,17,11,12,4,13,15,23,16,6,36,15,15,25,17,99,2,70.5,247.0,94,99,99,1,1,5,1,4,19,22.0,25.0,23.0,9.0,17.0,15.3,7,7,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/607d8e6129f85ccfc4b6cb72443bdf63T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/607d8e6129f85ccfc4b6cb72443bdf63S1.png,S1,200,200,32787,saskatchewan rattlers,Niagara River Lions,2025-05-30T23:00:00Z,5,15,17-25
2600608,2025,Saskatchewan Rattlers,Saskatchewan,SSK,87,200:00,31,85,36,23,42,54,8,43,18,17,25,68,11,38,49,16,6,12,1,6,16,19,16,7,38,19,26,18,5,85,2,55.3,214.0,82,85,85,0,1,6,4,2,22,18.0,20.0,27.0,8.0,11.0,15.65,9,4,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18S1.png,S1,200,200,32787,saskatchewan rattlers,Calgary Surge,2025-06-07T01:30:00Z,6,7,17-25
2600593,2025,Saskatchewan Rattlers,Saskatchewan,SSK,76,200:00,31,79,39,26,52,50,5,27,18,9,12,75,13,33,46,16,7,14,4,1,15,16,15,5,42,10,14,20,23,84,2,51.9,219.5,84,84,84,0,0,4,2,2,16,20.0,18.0,22.0,3.0,7.0,1.7,1,0,0,Eric Magdanz,,,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18S1.png,S1,200,200,32787,saskatchewan rattlers,Vancouver Bandits,2025-06-08T22:00:00Z,7,11,9-12
2600606,2025,Saskatchewan Rattlers,Saskatchewan,SSK,93,200:00,33,69,47,25,48,52,8,21,38,19,26,73,15,21,36,17,10,14,2,6,18,18,18,5,40,14,19,18,18,101,2,74.0,254.0,95,101,101,0,0,5,3,2,20,28.0,21.0,24.0,5.0,5.0,5.8066666666667,8,6,0,Eric Magdanz,Steve Burrows,Anthony Skepple,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18S1.png,S1,200,200,32787,saskatchewan rattlers,Scarborough Shooting Stars,2025-06-14T01:30:00Z,8,12,19-26
2600591,2025,Saskatchewan Rattlers,Saskatchewan,SSK,84,200:00,33,76,43,24,50,48,9,26,34,9,16,56,13,28,41,18,5,7,3,2,16,20,16,4,46,13,15,10,9,94,2,65.0,247.5,96,94,94,0,1,3,2,1,24,19.0,16.0,25.0,6.0,11.0,8.0616666666667,1,4,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/ec044eef3fc11dcde74629ed983bda18S1.png,S1,200,200,32787,saskatchewan rattlers,Winnipeg Sea Bears,2025-06-15T19:00:00Z,9,8,9-16
2600607,2025,Saskatchewan Rattlers,Saskatchewan,SSK,86,200:00,32,76,42,21,46,45,11,30,36,11,15,73,17,26,43,19,11,14,3,1,12,14,12,1,34,13,22,16,21,100,2,71.3,273.5,101,100,100,0,1,4,2,2,23,23.0,20.0,20.0,6.0,9.0,9.4,11,5,0,Eric Magdanz,Steve Burrows,Robert Lovelace,Saskatchewan Rattlers,Saskatchewan,SSK,,https://images.statsengine.playbyplay.api.geniussports.com/955aa92794357764cf2f2144f7968297T1.png,T1,75,75,8033,https://images.statsengine.playbyplay.api.geniussports.com/955aa92794357764cf2f2144f7968297S1.png,S1,200,200,32787,saskatchewan rattlers,Brampton Honey Badgers,2025-06-21T00:00:00Z,10,14,11-15
