game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600576,2025,Scarborough Shooting Stars,Scarborough,SSS,90,200:00,35,82,42,23,48,47,12,34,35,8,10,80,14,34,48,24,11,15,5,3,21,10,21,4,38,10,23,30,27,114,2,73.7,273.0,100,114,114,0,3,4,3,1,29,15.0,20.0,26.0,23.0,16.0,37.166666666667,3,1,0,Mike Degiorgio,Daniel Fanone,Kyle Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/66844eb3195aacf3942903d1635c1f71T1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/66844eb3195aacf3942903d1635c1f71S1.png,S1,200,200,24028,scarborough shooting stars,Brampton Honey Badgers,2025-05-25T18:00:00Z,1,16,8-10
2600578,2025,Scarborough Shooting Stars,Scarborough,SSS,87,200:00,34,74,45,24,44,54,10,30,33,9,13,69,8,28,36,23,6,14,6,2,21,17,21,6,38,4,18,21,20,100,2,65.1,239.0,94,100,100,0,0,3,3,0,25,19.0,23.0,20.0,10.0,7.0,26.066666666667,14,10,0,M|ike De Giorgio,,,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/d6f1945f7237b3ef090746769cce75fdT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/d6f1945f7237b3ef090746769cce75fdS1.png,S1,200,200,24028,scarborough shooting stars,Ottawa BlackJacks,2025-05-27T15:00:00Z,2,12,9-13
2600581,2025,Scarborough Shooting Stars,Scarborough,SSS,91,200:00,36,76,47,29,54,53,7,22,31,12,24,50,14,27,41,20,10,14,6,7,20,21,21,5,54,11,24,22,24,102,2,71.5,261.5,96,102,102,1,0,4,2,2,22,26.0,22.0,21.0,8.0,7.0,28.851666666667,16,13,0,Mike De Giorgio,Daniel Fanone,Kyle Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/d6f1945f7237b3ef090746769cce75fdT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/d6f1945f7237b3ef090746769cce75fdS1.png,S1,200,200,24028,scarborough shooting stars,Saskatchewan Rattlers,2025-05-29T15:00:00Z,3,16,12-24
2600599,2025,Scarborough Shooting Stars,Scarborough,SSS,94,200:00,32,81,39,23,45,51,9,36,25,21,29,72,16,33,49,21,11,15,5,1,24,24,24,8,42,25,9,32,17,108,2,72.6,260.5,106,108,108,0,0,1,1,0,18,29.0,28.0,19.0,6.0,13.0,6.8166666666667,6,5,0,Mike DeGiorgio,Daniel Fanone,Kyle  Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fS1.png,S1,200,200,24028,scarborough shooting stars,Niagara River Lions,2025-06-06T23:00:00Z,4,16,21-29
2600584,2025,Scarborough Shooting Stars,Scarborough,SSS,86,200:00,32,74,43,24,53,45,8,21,38,14,29,48,17,42,59,17,8,16,7,6,22,20,22,5,42,11,11,26,22,104,2,65.5,262.0,96,104,104,0,1,3,2,1,22,26.0,22.0,16.0,17.0,10.0,35.516666666667,1,2,0,Mike Degiorgio,Daniel Fanone,,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fS1.png,S1,200,200,24028,scarborough shooting stars,Winnipeg Sea Bears,2025-06-08T00:00:00Z,5,15,14-29
2600596,2025,Scarborough Shooting Stars,Scarborough,SSS,88,200:00,31,70,44,24,44,54,7,26,26,19,32,59,17,28,45,19,8,22,7,7,23,26,23,8,42,14,13,10,10,93,2,61.5,219.5,89,93,93,0,2,7,3,4,26,22.0,18.0,22.0,2.0,8.0,0.55,3,3,0,Mike De Giorgio,,,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/be05060823ab9aba46833818dbc67e2fS1.png,S1,200,200,24028,scarborough shooting stars,Montreal Alliance,2025-06-09T23:30:00Z,6,15,19-32
2600606,2025,Scarborough Shooting Stars,Scarborough,SSS,101,200:00,36,68,52,26,44,59,10,24,41,19,23,82,11,24,35,21,10,15,6,2,18,18,18,8,50,13,22,28,22,122,2,87.8,319.0,120,122,122,0,1,4,2,2,23,27.0,26.0,25.0,12.0,8.0,30.218333333333,8,6,0,Mike De Giorgio,Daniel Fanone,Kyle Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/12b49f4b672a1527a2f9cfb1189e01e1T1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/12b49f4b672a1527a2f9cfb1189e01e1S1.png,S1,200,200,24028,scarborough shooting stars,Saskatchewan Rattlers,2025-06-14T01:30:00Z,7,16,19-23
2600594,2025,Scarborough Shooting Stars,Scarborough,SSS,80,200:00,28,65,43,18,34,52,10,31,32,14,18,77,12,28,40,17,12,22,2,4,18,18,18,3,36,16,16,22,8,88,2,57.0,205.0,84,88,88,0,1,6,5,1,14,25.0,23.0,18.0,1.0,15.0,0.75,4,3,0,Mike De Giorgio,Daniel Fanone,Kyle Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/12b49f4b672a1527a2f9cfb1189e01e1T1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/12b49f4b672a1527a2f9cfb1189e01e1S1.png,S1,200,200,24028,scarborough shooting stars,Calgary Surge,2025-06-15T20:00:00Z,8,14,14-18
2600597,2025,Scarborough Shooting Stars,Scarborough,SSS,101,200:00,41,85,48,28,49,57,13,36,36,6,13,46,16,32,48,22,6,5,7,6,19,11,20,5,54,21,15,34,24,128,2,89.6,331.5,113,128,128,1,0,6,5,1,25,23.0,24.0,29.0,30.0,16.0,30.433333333333,3,3,0,Michael De Giorgio,Daniel Fanone,Kyle Johnson,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/7b0970222c4a6dae2a5232ca2715a52dT1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/7b0970222c4a6dae2a5232ca2715a52dS1.png,S1,200,200,24028,scarborough shooting stars,Montreal Alliance,2025-06-18T23:30:00Z,9,13,6-13
2600609,2025,Scarborough Shooting Stars,Scarborough,SSS,78,200:00,30,80,37,25,50,50,5,30,16,13,24,54,18,25,43,7,10,12,7,4,18,22,18,4,48,19,14,18,8,72,2,50.3,180.5,71,72,72,0,0,4,2,2,24,20.0,13.0,21.0,2.0,8.0,0.35,1,3,0,Mike De Giorgio,,,Scarborough Shooting Stars,Scarborough,SSS,,https://images.statsengine.playbyplay.api.geniussports.com/a4e19a087da6573aa86d263b73e47893T1.png,T1,75,75,5799,https://images.statsengine.playbyplay.api.geniussports.com/a4e19a087da6573aa86d263b73e47893S1.png,S1,200,200,24028,scarborough shooting stars,Ottawa BlackJacks,2025-06-20T23:30:00Z,10,17,13-24
