game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600564,2025,Vancouver Bandits,Vancouver,VAN,105,200:00,42,76,55,34,51,66,8,25,32,13,21,61,13,37,50,17,11,16,2,3,18,16,18,5,60,14,29,13,17,127,2,86.7,349.0,122,127,127,0,1,7,4,3,29,23.0,27.0,26.0,44.0,13.0,38.366666666667,1,3,0,Kylie Julius,Rans Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/5ca86c1eb31e1c3cdde6547ab33eb2cdT1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/5ca86c1eb31e1c3cdde6547ab33eb2cdS1.png,S1,200,200,22272,vancouver bandits,Saskatchewan Rattlers,2025-05-16T01:30:00Z,1,13,13-21
2600571,2025,Vancouver Bandits,Vancouver,VAN,109,200:00,39,83,46,31,59,52,8,24,33,23,31,74,18,34,52,28,11,11,7,9,21,21,21,8,60,16,32,33,24,144,2,102.2,373.0,135,144,144,0,2,6,2,4,17,30.0,33.0,29.0,39.0,10.0,27.7,3,3,0,Kyle Julius,Rens Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/e54d38b83ec30429566fb9823f518f77T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/e54d38b83ec30429566fb9823f518f77S1.png,S1,200,200,22272,vancouver bandits,Niagara River Lions,2025-05-23T02:00:00Z,2,18,23-31
2600575,2025,Vancouver Bandits,Vancouver,VAN,109,200:00,39,71,54,26,40,65,13,31,41,18,25,72,9,29,38,34,13,10,5,3,22,22,22,6,52,8,29,29,20,150,2,108.6,389.5,146,150,150,0,0,6,5,1,24,27.0,29.0,29.0,30.0,14.0,36.2,1,4,0,Kyle Julius,Rans Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/e54d38b83ec30429566fb9823f518f77T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/e54d38b83ec30429566fb9823f518f77S1.png,S1,200,200,22272,vancouver bandits,Edmonton Stingers,2025-05-25T02:00:00Z,3,18,18-25
2600579,2025,Vancouver Bandits,Vancouver,VAN,100,200:00,38,70,54,29,40,72,9,30,30,15,18,83,11,33,44,28,6,15,1,4,21,18,21,8,50,15,11,23,14,129,2,85.5,325.5,122,129,129,0,0,4,3,1,23,22.0,34.0,21.0,20.0,22.0,18.05,7,2,0,,,,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59S1.png,S1,200,200,22272,vancouver bandits,Winnipeg Sea Bears,2025-05-29T00:00:00Z,4,7,15-18
2600586,2025,Vancouver Bandits,Vancouver,VAN,104,200:00,38,77,49,22,45,48,16,32,50,12,16,75,12,28,40,23,7,12,2,3,25,16,25,7,44,8,14,15,10,121,2,83.0,279.0,109,121,121,0,0,2,0,2,23,25.0,29.0,27.0,17.0,11.0,31.081666666667,8,6,0,Kyle Julius,Rans Brempong,,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59S1.png,S1,200,200,22272,vancouver bandits,Edmonton Stingers,2025-05-31T01:00:00Z,5,9,12-16
2600592,2025,Vancouver Bandits,Vancouver,VAN,80,200:00,29,76,38,22,48,45,7,28,25,15,22,68,12,35,47,15,10,18,2,6,20,20,20,6,42,6,29,21,6,82,2,50.4,186.5,76,82,82,0,1,4,3,1,13,27.0,12.0,28.0,4.0,9.0,2.45,1,1,0,Kyle Julius,Rans Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59S1.png,S1,200,200,22272,vancouver bandits,Calgary Surge,2025-06-02T00:00:00Z,6,12,15-22
2600611,2025,Vancouver Bandits,Vancouver,VAN,95,200:00,38,77,49,29,51,56,9,26,34,10,16,62,13,31,44,22,12,13,5,3,19,17,19,6,58,12,19,30,18,120,2,82.6,314.5,115,120,120,0,0,3,0,3,21,17.0,27.0,30.0,14.0,9.0,38.933333333333,2,0,0,Kyle Julius,Rans Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/64aac908b4ea1834b54364567d63a7b4T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/64aac908b4ea1834b54364567d63a7b4S1.png,S1,200,200,22272,vancouver bandits,Ottawa BlackJacks,2025-06-07T02:00:00Z,7,17,10-16
2600593,2025,Vancouver Bandits,Vancouver,VAN,101,200:00,39,82,47,31,55,56,8,27,29,15,21,71,13,36,49,22,10,8,1,4,16,15,16,8,58,16,15,20,27,126,2,88.4,345.0,121,126,126,0,0,7,6,1,33,23.0,16.0,29.0,28.0,10.0,37.983333333333,1,0,0,Kyle Julius,,,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/6481535e9eeb74ab07179be6a29a4f59S1.png,S1,200,200,22272,vancouver bandits,Saskatchewan Rattlers,2025-06-08T22:00:00Z,8,11,15-21
2600585,2025,Vancouver Bandits,Vancouver,VAN,91,200:00,36,71,50,29,52,55,7,19,36,12,13,92,10,35,45,21,4,13,4,6,22,17,22,7,56,12,16,15,20,116,2,72.5,275.5,105,116,116,0,0,7,6,1,15,26.0,15.0,35.0,9.0,15.0,6.15,1,3,0,Kyle Julius,Rans Brenpong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/c74d34ab93a21f26aa6f821caccfec20T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/c74d34ab93a21f26aa6f821caccfec20S1.png,S1,200,200,22272,vancouver bandits,Montreal Alliance,2025-06-15T02:00:00Z,9,8,12-13
2600612,2025,Vancouver Bandits,Vancouver,VAN,85,200:00,30,68,44,20,39,51,10,29,34,15,22,68,10,28,38,27,9,18,4,2,22,17,22,5,40,20,14,11,16,100,2,65.9,237.0,93,100,100,0,1,2,2,0,20,22.0,28.0,15.0,6.0,7.0,7.0583333333333,11,7,0,Kyle Julius,Rans Brempong,Matthew Barg,Vancouver Bandits,Vancouver,VAN,,https://images.statsengine.playbyplay.api.geniussports.com/cb9e0c85dc9d79efb27eaa4141cf3099T1.png,T1,75,75,5458,https://images.statsengine.playbyplay.api.geniussports.com/cb9e0c85dc9d79efb27eaa4141cf3099S1.png,S1,200,200,22272,vancouver bandits,Winnipeg Sea Bears,2025-06-21T02:00:00Z,10,13,15-22
