game_id,season,team_name,short_name,code,team_score,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,blocks_received,personal_fouls,fouls_drawn,total_fouls,bonus_fouls,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_index_rating,team_index_rating_2,team_index_rating_3,team_index_rating_4,team_index_rating_5,team_index_rating_6,team_index_rating_7,team_fouls,team_turnovers,team_rebounds,team_defensive_rebounds,team_offensive_rebounds,period_1_score,period_2_score,period_3_score,period_4_score,biggest_lead,biggest_scoring_run,time_leading,lead_changes,times_scores_level,timeouts_left,head_coach,assistant_coach_1,assistant_coach_2,international_team_name,international_short_name,international_code,logo,logo_t_url,logo_t_size,logo_t_height,logo_t_width,logo_t_bytes,logo_s_url,logo_s_size,logo_s_height,logo_s_width,logo_s_bytes,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2600566,2025,Winnipeg Sea Bears,Winnipeg,WPG,92,200:00,31,83,37,21,49,42,10,34,29,20,26,76,15,39,54,19,6,12,6,4,19,18,19,7,38,12,11,17,4,107,2,70.0,265.0,102,107,107,0,0,5,4,1,21,26.0,24.0,21.0,24.0,7.0,37.483333333333,0,1,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5S1.png,S1,200,200,24797,winnipeg sea bears,Edmonton Stingers,2025-05-17T00:30:00Z,1,12,20-26
2600573,2025,Winnipeg Sea Bears,Winnipeg,WPG,86,200:00,34,84,40,23,44,52,11,40,27,7,16,43,19,22,41,22,7,17,3,3,22,18,22,8,38,15,19,20,3,83,2,55.8,190.5,76,83,83,0,0,5,2,3,14,33.0,14.0,25.0,4.0,10.0,2.6166666666667,1,1,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5S1.png,S1,200,200,24797,winnipeg sea bears,Calgary Surge,2025-05-24T00:30:00Z,2,10,7-16
2600577,2025,Winnipeg Sea Bears,Winnipeg,WPG,61,200:00,22,73,30,16,38,42,6,35,17,11,22,50,10,32,42,14,9,16,2,2,19,20,19,7,28,8,15,15,5,50,2,27.5,105.0,48,50,50,0,1,5,5,0,17,14.0,17.0,13.0,5.0,8.0,3.2166666666667,4,3,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5S1.png,S1,200,200,24797,winnipeg sea bears,Calgary Surge,2025-05-25T20:00:00Z,3,11,11-22
2600579,2025,Winnipeg Sea Bears,Winnipeg,WPG,89,200:00,27,74,36,17,36,47,10,38,26,25,28,89,15,21,36,16,9,10,4,1,18,21,18,7,34,17,29,14,21,94,2,69.4,226.0,96,94,94,0,3,1,0,1,29,19.0,11.0,30.0,13.0,8.0,20.45,7,2,0,,,,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/16f6f82ec32d45241f0b2db079cb13d5S1.png,S1,200,200,24797,winnipeg sea bears,Vancouver Bandits,2025-05-29T00:00:00Z,4,13,25-28
2600589,2025,Winnipeg Sea Bears,Winnipeg,WPG,73,200:00,28,73,38,19,41,46,9,32,28,8,13,61,15,19,34,17,10,11,2,5,15,17,15,3,36,12,23,13,6,75,2,53.6,179.5,71,75,75,0,0,4,1,3,18,19.0,23.0,13.0,9.0,8.0,12.715,5,1,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/7a8941ac85aa3143535f6efb0d63ece8T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/7a8941ac85aa3143535f6efb0d63ece8S1.png,S1,200,200,24797,winnipeg sea bears,Ottawa BlackJacks,2025-06-01T00:30:00Z,5,12,8-13
2600601,2025,Winnipeg Sea Bears,Winnipeg,WPG,74,200:00,26,64,40,15,35,42,11,29,37,11,15,73,6,24,30,17,9,14,2,3,25,15,25,7,24,5,18,39,12,76,2,47.7,139.5,62,76,76,0,0,4,4,0,21,24.0,18.0,11.0,7.0,9.0,14.753333333333,11,15,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/737a505cfa6791fc4a526e057f3dd0f9T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/737a505cfa6791fc4a526e057f3dd0f9S1.png,S1,200,200,24797,winnipeg sea bears,Brampton Honey Badgers,2025-06-06T23:30:00Z,6,11,11-15
2600584,2025,Winnipeg Sea Bears,Winnipeg,WPG,87,200:00,31,84,36,19,51,37,12,33,36,13,20,65,15,33,48,16,9,11,6,7,20,22,20,8,28,15,14,29,4,95,2,63.6,218.0,90,95,95,0,0,6,4,2,19,21.0,18.0,29.0,1.0,7.0,3.2166666666667,1,2,0,Mike Taylor,Ryan Thomson,,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/49863b551d06a517caaaf9e261dae719T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/49863b551d06a517caaaf9e261dae719S1.png,S1,200,200,24797,winnipeg sea bears,Scarborough Shooting Stars,2025-06-08T00:00:00Z,7,15,13-20
2600602,2025,Winnipeg Sea Bears,Winnipeg,WPG,92,200:00,37,75,49,31,50,62,6,25,24,12,17,70,12,29,41,27,10,12,2,3,16,13,16,4,52,9,16,28,10,117,2,81.3,319.0,111,117,117,0,1,3,2,1,25,27.0,26.0,14.0,19.0,7.0,38.116666666667,7,2,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1S1.png,S1,200,200,24797,winnipeg sea bears,Montreal Alliance,2025-06-12T00:00:00Z,8,12,12-17
2600591,2025,Winnipeg Sea Bears,Winnipeg,WPG,91,200:00,35,76,46,25,43,58,10,33,30,11,18,61,17,33,50,25,2,11,2,3,20,16,20,7,46,31,5,15,9,111,2,72.7,281.0,104,111,111,0,0,3,1,2,25,24.0,23.0,19.0,16.0,9.0,30.205,1,4,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1S1.png,S1,200,200,24797,winnipeg sea bears,Saskatchewan Rattlers,2025-06-15T19:00:00Z,9,4,11-18
2600612,2025,Winnipeg Sea Bears,Winnipeg,WPG,92,200:00,35,76,46,28,51,54,7,25,28,15,19,78,13,30,43,17,8,15,2,4,18,22,19,5,50,21,20,8,7,102,2,68.4,258.5,101,102,102,1,0,7,5,2,21,33.0,21.0,17.0,13.0,9.0,28.725,11,7,0,Mike Taylor,Ryan Thomson,Mike Raimbault,Winnipeg Sea Bears,Winnipeg,WPG,,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1T1.png,T1,75,75,7572,https://images.statsengine.playbyplay.api.geniussports.com/baeecb453f20a396a55ac4e0f377b7a1S1.png,S1,200,200,24797,winnipeg sea bears,Vancouver Bandits,2025-06-21T02:00:00Z,10,10,15-19
