game_id,fiba_id,season,team_name,team_code,player_id,player_name,first_name,family_name,shirt_number,position,starter,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,personal_fouls,fouls_drawn,points,second_chance_points,fast_break_points,plus_minus,points_in_the_paint,team_name_clean,opponent_name,game_date,game_number
2798724,2798724,2026,Brampton Honey Badgers,BHB,4,S. East Ii,Sean,East Ii,55,G,1,36:24,8,18,44,3,10,30,5,8,62,4,6,66,0,7,7,12,4,7,0,3,4,25,0,10,15,2,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,11,C. Tyson,Cameron,Tyson,5,G,1,34:17,8,18,44,0,2,0,8,16,50,0,0,0,3,5,8,1,0,3,0,4,0,24,6,0,0,0,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,15,J. Martindale,Justin,Martindale,9,F,0,2:48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,-1,0,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,7,J. Omojafo,Joshua,Omojafo,4,G,0,2:27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-7,0,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,1,P. Oduro,Prince,Oduro,8,F,1,29:31,1,4,25,1,4,25,0,0,0,4,6,66,5,3,8,0,2,1,1,2,5,6,2,0,-8,2,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,10,M. Moncrieffe,Matthew,Moncrieffe,12,F,1,28:12,8,12,66,8,12,66,0,0,0,1,2,50,7,7,14,2,2,4,1,4,2,17,2,4,20,16,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,14,T. Hunter,Tyrese,Hunter,0,G,1,25:20,4,9,44,0,3,0,4,6,66,0,0,0,0,0,0,4,0,2,0,3,0,12,0,0,11,0,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,6,D. Jackson,Dj,Jackson,2,G,0,18:44,1,5,20,1,4,25,0,1,0,0,0,0,1,4,5,0,3,1,0,2,2,2,2,0,-3,2,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,2,D. Djuricic,Danilo,Djuricic,33,F,0,11:18,1,2,50,0,0,0,1,2,50,0,0,0,1,1,2,1,0,1,0,2,0,3,0,0,-3,0,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
2798724,2798724,2026,Brampton Honey Badgers,BHB,13,T. Polley,Tyler,Polley,24,F,0,10:59,1,5,20,1,2,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,brampton honey badgers,Ottawa BlackJacks,2026-05-15T23:30:00Z,1
