game_id,game_date,game_number,team_name,opponent_name,actual_opponent_team,opponent_payroll_faced,opponent_active_players,opponent_players_with_salary,opponent_players_missing_salary,opponent_payroll_complete,league_average_payroll,difference_vs_average,pct_of_league_average
2798724,2026-05-15T23:30:00Z,1,Brampton Honey Badgers,Ottawa BlackJacks,Ottawa BlackJacks,13650.0,11,11,0,True,11772.152916666668,1877.8470833333322,1.1595160287694473
2798730,2026-05-17T20:00:00Z,2,Brampton Honey Badgers,Calgary Surge,Calgary Surge,10226.0,9,9,0,True,11772.152916666668,-1546.1529166666678,0.8686601399411258
2798721,2026-05-21T23:30:00Z,3,Brampton Honey Badgers,Ottawa BlackJacks,Ottawa BlackJacks,12450.0,10,10,0,True,11772.152916666668,677.8470833333322,1.0575805537127925
2798733,2026-05-25T23:30:00Z,4,Brampton Honey Badgers,Winnipeg Sea Bears,Winnipeg Sea Bears,10653.08,9,9,0,True,11772.152916666668,-1119.0729166666679,0.9049389755137892
2798736,2026-05-28T15:00:00Z,5,Brampton Honey Badgers,Montreal Alliance,Montréal Alliance,11100.0,9,9,0,True,11772.152916666668,-672.1529166666678,0.942903144274056
2798744,2026-05-30T23:00:00Z,6,Brampton Honey Badgers,Vancouver Bandits,Vancouver Bandits,13159.34,9,9,0,True,11772.152916666668,1387.1870833333323,1.1178363119433654
2798737,2026-06-03T23:30:00Z,7,Brampton Honey Badgers,Edmonton Stingers,Edmonton Stingers,12616.67,12,12,0,True,11772.152916666668,844.5170833333323,1.0717385417358698
2798741,2026-06-05T23:00:00Z,8,Brampton Honey Badgers,Niagara River Lions,Niagara River Lions,9168.75,10,9,1,False,11772.152916666668,-2603.402916666668,0.7788507391047523
2798753,2026-06-10T23:30:00Z,9,Brampton Honey Badgers,Montreal Alliance,Montréal Alliance,11700.0,9,9,0,True,11772.152916666668,-72.1529166666678,0.9938708818023834
2798765,2026-06-15T23:30:00Z,10,Brampton Honey Badgers,Niagara River Lions,Niagara River Lions,14568.75,10,10,0,True,11772.152916666668,2796.597083333332,1.2375603768596986
