money_faced_rank,team_name,games,wins,losses,game_spending_in_wins,game_spending_in_losses,total_spending,total_spending_per_season_win,average_money_faced,total_money_faced
1,Brampton Honey Badgers,24,11,13,10031.81909090909,10668.096153846154,249035.26,22639.56909090909,12587.956666666665,302110.95999999996
2,Montréal Alliance,24,10,14,11051.0,10103.57142857143,251960.0,25196.0,12203.284166666665,292878.81999999995
3,Edmonton Stingers,24,9,15,11776.373333333333,11701.580000000004,281511.06,31279.006666666668,11874.098333333333,284978.36
4,Saskatoon Mamba,24,13,11,11608.690769230769,10823.726363636364,269973.97000000003,20767.228461538463,11814.820000000002,283555.68000000005
5,Scarborough Shooting Stars,24,20,4,13912.714999999997,13107.5,330684.3,16534.215,11806.616250000001,283358.79000000004
6,Ottawa BlackJacks,24,10,14,11796.25,12526.785714285714,293337.5,29333.75,11803.070833333331,283273.69999999995
7,Niagara River Lions,24,10,14,13099.375,13090.625,314262.5,31426.25,11748.120833333334,281954.9
8,Calgary Surge,24,8,16,10336.36125,9744.438125,238601.89999999997,29825.237499999996,11562.19625,277492.71
9,Vancouver Bandits,24,15,9,12988.401333333333,12996.891111111112,311798.04000000004,20786.536000000004,11229.515833333333,269508.38
10,Winnipeg Sea Bears,24,14,10,11561.044285714283,12229.755000000001,284152.17,20296.58357142857,11091.85,266204.4
